order,Vp,numberOfTurn,turnHistory
"A2,A4,A0,A3,A1",0.13793103448275862,8,"{'turn 0': [{'agent_2': '1', 'agent_4': '11', 'agent_0': '3', 'agent_3': '10', 'agent_1': '12'}], 'turn 1': [{'agent_2': None, 'agent_4': None, 'agent_0': '39', 'agent_3': None, 'agent_1': '13'}], 'turn 2': [{'agent_2': None, 'agent_4': None, 'agent_0': None, 'agent_3': None, 'agent_1': '14'}], 'turn 3': [{'agent_2': '44', 'agent_4': None, 'agent_0': None, 'agent_3': None, 'agent_1': '15'}], 'turn 4': [{'agent_2': '47', 'agent_4': None, 'agent_0': None, 'agent_3': None, 'agent_1': None}], 'turn 5': [{'agent_2': '48', 'agent_4': None, 'agent_0': None, 'agent_3': None, 'agent_1': None}], 'turn 6': [{'agent_2': '50', 'agent_4': None, 'agent_0': None, 'agent_3': None, 'agent_1': None}], 'turn 7': [{'agent_2': None, 'agent_4': None, 'agent_0': None, 'agent_3': None, 'agent_1': None}]}"
"A2,A4,A1,A0,A3",0.13793103448275862,7,"{'turn 0': [{'agent_2': '1', 'agent_4': '11', 'agent_1': '10', 'agent_0': None, 'agent_3': '12'}], 'turn 1': [{'agent_2': None, 'agent_4': None, 'agent_1': '13', 'agent_0': '39', 'agent_3': None}], 'turn 2': [{'agent_2': None, 'agent_4': None, 'agent_1': '14', 'agent_0': None, 'agent_3': None}], 'turn 3': [{'agent_2': '44', 'agent_4': None, 'agent_1': '15', 'agent_0': '47', 'agent_3': None}], 'turn 4': [{'agent_2': '48', 'agent_4': None, 'agent_1': '2', 'agent_0': None, 'agent_3': None}], 'turn 5': [{'agent_2': '50', 'agent_4': None, 'agent_1': None, 'agent_0': None, 'agent_3': None}], 'turn 6': [{'agent_2': None, 'agent_4': None, 'agent_1': None, 'agent_0': None, 'agent_3': None}]}"
"A2,A4,A1,A3,A0",0.13793103448275862,7,"{'turn 0': [{'agent_2': '1', 'agent_4': '11', 'agent_1': '10', 'agent_3': '12', 'agent_0': None}], 'turn 1': [{'agent_2': None, 'agent_4': None, 'agent_1': '13', 'agent_3': None, 'agent_0': '39'}], 'turn 2': [{'agent_2': None, 'agent_4': None, 'agent_1': '14', 'agent_3': None, 'agent_0': None}], 'turn 3': [{'agent_2': '44', 'agent_4': None, 'agent_1': '15', 'agent_3': None, 'agent_0': '47'}], 'turn 4': [{'agent_2': '48', 'agent_4': None, 'agent_1': '2', 'agent_3': None, 'agent_0': None}], 'turn 5': [{'agent_2': '50', 'agent_4': None, 'agent_1': None, 'agent_3': None, 'agent_0': None}], 'turn 6': [{'agent_2': None, 'agent_4': None, 'agent_1': None, 'agent_3': None, 'agent_0': None}]}"
"A2,A4,A3,A0,A1",0.13793103448275862,7,"{'turn 0': [{'agent_2': '1', 'agent_4': '11', 'agent_3': '10', 'agent_0': None, 'agent_1': '12'}], 'turn 1': [{'agent_2': None, 'agent_4': None, 'agent_3': '13', 'agent_0': '39', 'agent_1': '14'}], 'turn 2': [{'agent_2': '44', 'agent_4': None, 'agent_3': None, 'agent_0': None, 'agent_1': '15'}], 'turn 3': [{'agent_2': '47', 'agent_4': None, 'agent_3': None, 'agent_0': None, 'agent_1': '2'}], 'turn 4': [{'agent_2': '48', 'agent_4': None, 'agent_3': None, 'agent_0': None, 'agent_1': None}], 'turn 5': [{'agent_2': '50', 'agent_4': None, 'agent_3': None, 'agent_0': None, 'agent_1': None}], 'turn 6': [{'agent_2': None, 'agent_4': None, 'agent_3': None, 'agent_0': None, 'agent_1': None}]}"
"A2,A4,A3,A1,A0",0.13793103448275862,6,"{'turn 0': [{'agent_2': '1', 'agent_4': '11', 'agent_3': '10', 'agent_1': '12', 'agent_0': None}], 'turn 1': [{'agent_2': None, 'agent_4': None, 'agent_3': '13', 'agent_1': '14', 'agent_0': '39'}], 'turn 2': [{'agent_2': '44', 'agent_4': None, 'agent_3': None, 'agent_1': '15', 'agent_0': '47'}], 'turn 3': [{'agent_2': '48', 'agent_4': None, 'agent_3': None, 'agent_1': '2', 'agent_0': None}], 'turn 4': [{'agent_2': '50', 'agent_4': None, 'agent_3': None, 'agent_1': None, 'agent_0': None}], 'turn 5': [{'agent_2': None, 'agent_4': None, 'agent_3': None, 'agent_1': None, 'agent_0': None}]}"
"A3,A0,A1,A2,A4",0.13793103448275862,6,"{'turn 0': [{'agent_3': '10', 'agent_0': '11', 'agent_1': '1', 'agent_2': None, 'agent_4': '13'}], 'turn 1': [{'agent_3': '12', 'agent_0': '39', 'agent_1': '14', 'agent_2': '44', 'agent_4': None}], 'turn 2': [{'agent_3': None, 'agent_0': None, 'agent_1': '15', 'agent_2': '47', 'agent_4': None}], 'turn 3': [{'agent_3': None, 'agent_0': None, 'agent_1': '2', 'agent_2': '48', 'agent_4': None}], 'turn 4': [{'agent_3': None, 'agent_0': None, 'agent_1': None, 'agent_2': '50', 'agent_4': None}], 'turn 5': [{'agent_3': None, 'agent_0': None, 'agent_1': None, 'agent_2': None, 'agent_4': None}]}"
"A3,A0,A1,A4,A2",0.13793103448275862,6,"{'turn 0': [{'agent_3': '10', 'agent_0': '11', 'agent_1': '1', 'agent_4': '13', 'agent_2': None}], 'turn 1': [{'agent_3': '12', 'agent_0': '39', 'agent_1': '14', 'agent_4': None, 'agent_2': '44'}], 'turn 2': [{'agent_3': None, 'agent_0': None, 'agent_1': '15', 'agent_4': None, 'agent_2': '47'}], 'turn 3': [{'agent_3': None, 'agent_0': None, 'agent_1': '2', 'agent_4': None, 'agent_2': '48'}], 'turn 4': [{'agent_3': None, 'agent_0': None, 'agent_1': None, 'agent_4': None, 'agent_2': '50'}], 'turn 5': [{'agent_3': None, 'agent_0': None, 'agent_1': None, 'agent_4': None, 'agent_2': None}]}"
"A3,A0,A2,A1,A4",0.13793103448275862,6,"{'turn 0': [{'agent_3': '10', 'agent_0': '11', 'agent_2': None, 'agent_1': '1', 'agent_4': '13'}], 'turn 1': [{'agent_3': '12', 'agent_0': '39', 'agent_2': None, 'agent_1': '14', 'agent_4': None}], 'turn 2': [{'agent_3': None, 'agent_0': None, 'agent_2': '44', 'agent_1': '15', 'agent_4': None}], 'turn 3': [{'agent_3': None, 'agent_0': '47', 'agent_2': '48', 'agent_1': '2', 'agent_4': None}], 'turn 4': [{'agent_3': None, 'agent_0': None, 'agent_2': '50', 'agent_1': None, 'agent_4': None}], 'turn 5': [{'agent_3': None, 'agent_0': None, 'agent_2': None, 'agent_1': None, 'agent_4': None}]}"
"A3,A0,A2,A4,A1",0.13793103448275862,6,"{'turn 0': [{'agent_3': '10', 'agent_0': '11', 'agent_2': None, 'agent_4': '13', 'agent_1': '1'}], 'turn 1': [{'agent_3': '12', 'agent_0': '39', 'agent_2': None, 'agent_4': None, 'agent_1': '14'}], 'turn 2': [{'agent_3': None, 'agent_0': None, 'agent_2': '44', 'agent_4': None, 'agent_1': '15'}], 'turn 3': [{'agent_3': None, 'agent_0': '47', 'agent_2': '48', 'agent_4': None, 'agent_1': '2'}], 'turn 4': [{'agent_3': None, 'agent_0': None, 'agent_2': '50', 'agent_4': None, 'agent_1': None}], 'turn 5': [{'agent_3': None, 'agent_0': None, 'agent_2': None, 'agent_4': None, 'agent_1': None}]}"
"A3,A0,A4,A1,A2",0.13793103448275862,6,"{'turn 0': [{'agent_3': '10', 'agent_0': '11', 'agent_4': '13', 'agent_1': '1', 'agent_2': None}], 'turn 1': [{'agent_3': '12', 'agent_0': '39', 'agent_4': None, 'agent_1': '14', 'agent_2': '44'}], 'turn 2': [{'agent_3': None, 'agent_0': None, 'agent_4': None, 'agent_1': '15', 'agent_2': '47'}], 'turn 3': [{'agent_3': None, 'agent_0': None, 'agent_4': None, 'agent_1': '2', 'agent_2': '48'}], 'turn 4': [{'agent_3': None, 'agent_0': None, 'agent_4': None, 'agent_1': None, 'agent_2': '50'}], 'turn 5': [{'agent_3': None, 'agent_0': None, 'agent_4': None, 'agent_1': None, 'agent_2': None}]}"
"A3,A0,A4,A2,A1",0.13793103448275862,6,"{'turn 0': [{'agent_3': '10', 'agent_0': '11', 'agent_4': '13', 'agent_2': None, 'agent_1': '1'}], 'turn 1': [{'agent_3': '12', 'agent_0': '39', 'agent_4': None, 'agent_2': None, 'agent_1': '14'}], 'turn 2': [{'agent_3': None, 'agent_0': None, 'agent_4': None, 'agent_2': '44', 'agent_1': '15'}], 'turn 3': [{'agent_3': None, 'agent_0': '47', 'agent_4': None, 'agent_2': '48', 'agent_1': '2'}], 'turn 4': [{'agent_3': None, 'agent_0': None, 'agent_4': None, 'agent_2': '50', 'agent_1': None}], 'turn 5': [{'agent_3': None, 'agent_0': None, 'agent_4': None, 'agent_2': None, 'agent_1': None}]}"
"A3,A1,A0,A2,A4",0.13793103448275862,5,"{'turn 0': [{'agent_3': '10', 'agent_1': '1', 'agent_0': '11', 'agent_2': None, 'agent_4': '13'}], 'turn 1': [{'agent_3': '12', 'agent_1': '14', 'agent_0': '39', 'agent_2': '44', 'agent_4': None}], 'turn 2': [{'agent_3': None, 'agent_1': '15', 'agent_0': '47', 'agent_2': '48', 'agent_4': None}], 'turn 3': [{'agent_3': None, 'agent_1': '2', 'agent_0': None, 'agent_2': '50', 'agent_4': None}], 'turn 4': [{'agent_3': None, 'agent_1': None, 'agent_0': None, 'agent_2': None, 'agent_4': None}]}"
"A3,A1,A0,A4,A2",0.13793103448275862,5,"{'turn 0': [{'agent_3': '10', 'agent_1': '1', 'agent_0': '11', 'agent_4': '13', 'agent_2': None}], 'turn 1': [{'agent_3': '12', 'agent_1': '14', 'agent_0': '39', 'agent_4': None, 'agent_2': '44'}], 'turn 2': [{'agent_3': None, 'agent_1': '15', 'agent_0': '47', 'agent_4': None, 'agent_2': '48'}], 'turn 3': [{'agent_3': None, 'agent_1': '2', 'agent_0': None, 'agent_4': None, 'agent_2': '50'}], 'turn 4': [{'agent_3': None, 'agent_1': None, 'agent_0': None, 'agent_4': None, 'agent_2': None}]}"
"A3,A1,A2,A0,A4",0.13793103448275862,6,"{'turn 0': [{'agent_3': '10', 'agent_1': '1', 'agent_2': None, 'agent_0': '11', 'agent_4': '13'}], 'turn 1': [{'agent_3': '12', 'agent_1': '14', 'agent_2': '44', 'agent_0': '39', 'agent_4': None}], 'turn 2': [{'agent_3': None, 'agent_1': '15', 'agent_2': '47', 'agent_0': None, 'agent_4': None}], 'turn 3': [{'agent_3': None, 'agent_1': '2', 'agent_2': '48', 'agent_0': None, 'agent_4': None}], 'turn 4': [{'agent_3': None, 'agent_1': None, 'agent_2': '50', 'agent_0': None, 'agent_4': None}], 'turn 5': [{'agent_3': None, 'agent_1': None, 'agent_2': None, 'agent_0': None, 'agent_4': None}]}"
"A3,A1,A2,A4,A0",0.13793103448275862,7,"{'turn 0': [{'agent_3': '10', 'agent_1': '1', 'agent_2': None, 'agent_4': '11', 'agent_0': None}], 'turn 1': [{'agent_3': '12', 'agent_1': '13', 'agent_2': None, 'agent_4': None, 'agent_0': '39'}], 'turn 2': [{'agent_3': None, 'agent_1': '14', 'agent_2': '44', 'agent_4': None, 'agent_0': None}], 'turn 3': [{'agent_3': None, 'agent_1': '15', 'agent_2': '47', 'agent_4': None, 'agent_0': None}], 'turn 4': [{'agent_3': None, 'agent_1': '2', 'agent_2': '48', 'agent_4': None, 'agent_0': None}], 'turn 5': [{'agent_3': None, 'agent_1': None, 'agent_2': '50', 'agent_4': None, 'agent_0': None}], 'turn 6': [{'agent_3': None, 'agent_1': None, 'agent_2': None, 'agent_4': None, 'agent_0': None}]}"
"A3,A1,A4,A0,A2",0.13793103448275862,6,"{'turn 0': [{'agent_3': '10', 'agent_1': '1', 'agent_4': '11', 'agent_0': None, 'agent_2': None}], 'turn 1': [{'agent_3': '12', 'agent_1': '13', 'agent_4': None, 'agent_0': '39', 'agent_2': None}], 'turn 2': [{'agent_3': None, 'agent_1': '14', 'agent_4': None, 'agent_0': None, 'agent_2': '44'}], 'turn 3': [{'agent_3': None, 'agent_1': '15', 'agent_4': None, 'agent_0': '47', 'agent_2': '48'}], 'turn 4': [{'agent_3': None, 'agent_1': '2', 'agent_4': None, 'agent_0': None, 'agent_2': '50'}], 'turn 5': [{'agent_3': None, 'agent_1': None, 'agent_4': None, 'agent_0': None, 'agent_2': None}]}"
"A3,A1,A4,A2,A0",0.13793103448275862,7,"{'turn 0': [{'agent_3': '10', 'agent_1': '1', 'agent_4': '11', 'agent_2': None, 'agent_0': None}], 'turn 1': [{'agent_3': '12', 'agent_1': '13', 'agent_4': None, 'agent_2': None, 'agent_0': '39'}], 'turn 2': [{'agent_3': None, 'agent_1': '14', 'agent_4': None, 'agent_2': '44', 'agent_0': None}], 'turn 3': [{'agent_3': None, 'agent_1': '15', 'agent_4': None, 'agent_2': '47', 'agent_0': None}], 'turn 4': [{'agent_3': None, 'agent_1': '2', 'agent_4': None, 'agent_2': '48', 'agent_0': None}], 'turn 5': [{'agent_3': None, 'agent_1': None, 'agent_4': None, 'agent_2': '50', 'agent_0': None}], 'turn 6': [{'agent_3': None, 'agent_1': None, 'agent_4': None, 'agent_2': None, 'agent_0': None}]}"
"A3,A2,A0,A1,A4",0.13793103448275862,7,"{'turn 0': [{'agent_3': '10', 'agent_2': '1', 'agent_0': '11', 'agent_1': '12', 'agent_4': None}], 'turn 1': [{'agent_3': '13', 'agent_2': None, 'agent_0': '39', 'agent_1': '14', 'agent_4': None}], 'turn 2': [{'agent_3': None, 'agent_2': '44', 'agent_0': None, 'agent_1': '15', 'agent_4': None}], 'turn 3': [{'agent_3': None, 'agent_2': '47', 'agent_0': None, 'agent_1': '2', 'agent_4': None}], 'turn 4': [{'agent_3': None, 'agent_2': '48', 'agent_0': None, 'agent_1': None, 'agent_4': None}], 'turn 5': [{'agent_3': None, 'agent_2': '50', 'agent_0': None, 'agent_1': None, 'agent_4': None}], 'turn 6': [{'agent_3': None, 'agent_2': None, 'agent_0': None, 'agent_1': None, 'agent_4': None}]}"
"A3,A2,A0,A4,A1",0.13793103448275862,7,"{'turn 0': [{'agent_3': '10', 'agent_2': '1', 'agent_0': '11', 'agent_4': '13', 'agent_1': '12'}], 'turn 1': [{'agent_3': None, 'agent_2': None, 'agent_0': '39', 'agent_4': None, 'agent_1': '14'}], 'turn 2': [{'agent_3': None, 'agent_2': '44', 'agent_0': None, 'agent_4': None, 'agent_1': '15'}], 'turn 3': [{'agent_3': None, 'agent_2': '47', 'agent_0': None, 'agent_4': None, 'agent_1': '2'}], 'turn 4': [{'agent_3': None, 'agent_2': '48', 'agent_0': None, 'agent_4': None, 'agent_1': None}], 'turn 5': [{'agent_3': None, 'agent_2': '50', 'agent_0': None, 'agent_4': None, 'agent_1': None}], 'turn 6': [{'agent_3': None, 'agent_2': None, 'agent_0': None, 'agent_4': None, 'agent_1': None}]}"
"A3,A2,A1,A0,A4",0.13793103448275862,6,"{'turn 0': [{'agent_3': '10', 'agent_2': '1', 'agent_1': '11', 'agent_0': None, 'agent_4': '13'}], 'turn 1': [{'agent_3': '12', 'agent_2': None, 'agent_1': '14', 'agent_0': '39', 'agent_4': None}], 'turn 2': [{'agent_3': None, 'agent_2': '44', 'agent_1': '15', 'agent_0': '47', 'agent_4': None}], 'turn 3': [{'agent_3': None, 'agent_2': '48', 'agent_1': '2', 'agent_0': None, 'agent_4': None}], 'turn 4': [{'agent_3': None, 'agent_2': '50', 'agent_1': None, 'agent_0': None, 'agent_4': None}], 'turn 5': [{'agent_3': None, 'agent_2': None, 'agent_1': None, 'agent_0': None, 'agent_4': None}]}"
"A3,A2,A1,A4,A0",0.13793103448275862,6,"{'turn 0': [{'agent_3': '10', 'agent_2': '1', 'agent_1': '11', 'agent_4': '13', 'agent_0': None}], 'turn 1': [{'agent_3': '12', 'agent_2': None, 'agent_1': '14', 'agent_4': None, 'agent_0': '39'}], 'turn 2': [{'agent_3': None, 'agent_2': '44', 'agent_1': '15', 'agent_4': None, 'agent_0': '47'}], 'turn 3': [{'agent_3': None, 'agent_2': '48', 'agent_1': '2', 'agent_4': None, 'agent_0': None}], 'turn 4': [{'agent_3': None, 'agent_2': '50', 'agent_1': None, 'agent_4': None, 'agent_0': None}], 'turn 5': [{'agent_3': None, 'agent_2': None, 'agent_1': None, 'agent_4': None, 'agent_0': None}]}"
"A3,A2,A4,A0,A1",0.13793103448275862,7,"{'turn 0': [{'agent_3': '10', 'agent_2': '1', 'agent_4': '11', 'agent_0': None, 'agent_1': '12'}], 'turn 1': [{'agent_3': '13', 'agent_2': None, 'agent_4': None, 'agent_0': '39', 'agent_1': '14'}], 'turn 2': [{'agent_3': None, 'agent_2': '44', 'agent_4': None, 'agent_0': None, 'agent_1': '15'}], 'turn 3': [{'agent_3': None, 'agent_2': '47', 'agent_4': None, 'agent_0': None, 'agent_1': '2'}], 'turn 4': [{'agent_3': None, 'agent_2': '48', 'agent_4': None, 'agent_0': None, 'agent_1': None}], 'turn 5': [{'agent_3': None, 'agent_2': '50', 'agent_4': None, 'agent_0': None, 'agent_1': None}], 'turn 6': [{'agent_3': None, 'agent_2': None, 'agent_4': None, 'agent_0': None, 'agent_1': None}]}"
"A3,A2,A4,A1,A0",0.13793103448275862,6,"{'turn 0': [{'agent_3': '10', 'agent_2': '1', 'agent_4': '11', 'agent_1': '12', 'agent_0': None}], 'turn 1': [{'agent_3': '13', 'agent_2': None, 'agent_4': None, 'agent_1': '14', 'agent_0': '39'}], 'turn 2': [{'agent_3': None, 'agent_2': '44', 'agent_4': None, 'agent_1': '15', 'agent_0': '47'}], 'turn 3': [{'agent_3': None, 'agent_2': '48', 'agent_4': None, 'agent_1': '2', 'agent_0': None}], 'turn 4': [{'agent_3': None, 'agent_2': '50', 'agent_4': None, 'agent_1': None, 'agent_0': None}], 'turn 5': [{'agent_3': None, 'agent_2': None, 'agent_4': None, 'agent_1': None, 'agent_0': None}]}"
"A3,A4,A0,A1,A2",0.13793103448275862,7,"{'turn 0': [{'agent_3': '10', 'agent_4': '11', 'agent_0': '3', 'agent_1': '1', 'agent_2': None}], 'turn 1': [{'agent_3': '12', 'agent_4': None, 'agent_0': '39', 'agent_1': '13', 'agent_2': None}], 'turn 2': [{'agent_3': None, 'agent_4': None, 'agent_0': None, 'agent_1': '14', 'agent_2': '44'}], 'turn 3': [{'agent_3': None, 'agent_4': None, 'agent_0': None, 'agent_1': '15', 'agent_2': '47'}], 'turn 4': [{'agent_3': None, 'agent_4': None, 'agent_0': None, 'agent_1': None, 'agent_2': '48'}], 'turn 5': [{'agent_3': None, 'agent_4': None, 'agent_0': None, 'agent_1': None, 'agent_2': '50'}], 'turn 6': [{'agent_3': None, 'agent_4': None, 'agent_0': None, 'agent_1': None, 'agent_2': None}]}"
"A3,A4,A0,A2,A1",0.12903225806451613,7,"{'turn 0': [{'agent_3': '10', 'agent_4': '11', 'agent_0': '3', 'agent_2': None, 'agent_1': '1'}], 'turn 1': [{'agent_3': '12', 'agent_4': None, 'agent_0': '39', 'agent_2': None, 'agent_1': '13'}], 'turn 2': [{'agent_3': None, 'agent_4': None, 'agent_0': None, 'agent_2': None, 'agent_1': '14'}], 'turn 3': [{'agent_3': None, 'agent_4': None, 'agent_0': None, 'agent_2': '44', 'agent_1': '15'}], 'turn 4': [{'agent_3': None, 'agent_4': '19', 'agent_0': '47', 'agent_2': '48', 'agent_1': '2'}], 'turn 5': [{'agent_3': None, 'agent_4': None, 'agent_0': None, 'agent_2': '50', 'agent_1': None}], 'turn 6': [{'agent_3': None, 'agent_4': None, 'agent_0': None, 'agent_2': None, 'agent_1': None}]}"
"A3,A4,A1,A0,A2",0.13793103448275862,6,"{'turn 0': [{'agent_3': '10', 'agent_4': '11', 'agent_1': '1', 'agent_0': None, 'agent_2': None}], 'turn 1': [{'agent_3': '12', 'agent_4': None, 'agent_1': '13', 'agent_0': '39', 'agent_2': None}], 'turn 2': [{'agent_3': None, 'agent_4': None, 'agent_1': '14', 'agent_0': None, 'agent_2': '44'}], 'turn 3': [{'agent_3': None, 'agent_4': None, 'agent_1': '15', 'agent_0': '47', 'agent_2': '48'}], 'turn 4': [{'agent_3': None, 'agent_4': None, 'agent_1': '2', 'agent_0': None, 'agent_2': '50'}], 'turn 5': [{'agent_3': None, 'agent_4': None, 'agent_1': None, 'agent_0': None, 'agent_2': None}]}"
"A3,A4,A1,A2,A0",0.13793103448275862,7,"{'turn 0': [{'agent_3': '10', 'agent_4': '11', 'agent_1': '1', 'agent_2': None, 'agent_0': None}], 'turn 1': [{'agent_3': '12', 'agent_4': None, 'agent_1': '13', 'agent_2': None, 'agent_0': '39'}], 'turn 2': [{'agent_3': None, 'agent_4': None, 'agent_1': '14', 'agent_2': '44', 'agent_0': None}], 'turn 3': [{'agent_3': None, 'agent_4': None, 'agent_1': '15', 'agent_2': '47', 'agent_0': None}], 'turn 4': [{'agent_3': None, 'agent_4': None, 'agent_1': '2', 'agent_2': '48', 'agent_0': None}], 'turn 5': [{'agent_3': None, 'agent_4': None, 'agent_1': None, 'agent_2': '50', 'agent_0': None}], 'turn 6': [{'agent_3': None, 'agent_4': None, 'agent_1': None, 'agent_2': None, 'agent_0': None}]}"
"A3,A4,A2,A0,A1",0.13793103448275862,8,"{'turn 0': [{'agent_3': '10', 'agent_4': '11', 'agent_2': None, 'agent_0': '3', 'agent_1': '1'}], 'turn 1': [{'agent_3': '12', 'agent_4': None, 'agent_2': None, 'agent_0': '39', 'agent_1': '13'}], 'turn 2': [{'agent_3': None, 'agent_4': None, 'agent_2': None, 'agent_0': None, 'agent_1': '14'}], 'turn 3': [{'agent_3': None, 'agent_4': None, 'agent_2': '44', 'agent_0': None, 'agent_1': '15'}], 'turn 4': [{'agent_3': None, 'agent_4': '19', 'agent_2': '47', 'agent_0': None, 'agent_1': '2'}], 'turn 5': [{'agent_3': None, 'agent_4': '42', 'agent_2': '48', 'agent_0': None, 'agent_1': None}], 'turn 6': [{'agent_3': None, 'agent_4': None, 'agent_2': '50', 'agent_0': None, 'agent_1': None}], 'turn 7': [{'agent_3': None, 'agent_4': None, 'agent_2': None, 'agent_0': None, 'agent_1': None}]}"
"A3,A4,A2,A1,A0",0.13793103448275862,7,"{'turn 0': [{'agent_3': '10', 'agent_4': '11', 'agent_2': None, 'agent_1': '1', 'agent_0': None}], 'turn 1': [{'agent_3': '12', 'agent_4': None, 'agent_2': None, 'agent_1': '13', 'agent_0': '39'}], 'turn 2': [{'agent_3': None, 'agent_4': None, 'agent_2': None, 'agent_1': '14', 'agent_0': None}], 'turn 3': [{'agent_3': None, 'agent_4': None, 'agent_2': '44', 'agent_1': '15', 'agent_0': '47'}], 'turn 4': [{'agent_3': None, 'agent_4': None, 'agent_2': '48', 'agent_1': '2', 'agent_0': None}], 'turn 5': [{'agent_3': None, 'agent_4': None, 'agent_2': '50', 'agent_1': None, 'agent_0': None}], 'turn 6': [{'agent_3': None, 'agent_4': None, 'agent_2': None, 'agent_1': None, 'agent_0': None}]}"
"A4,A0,A1,A2,A3",0.13793103448275862,8,"{'turn 0': [{'agent_4': '11', 'agent_0': '3', 'agent_1': '1', 'agent_2': None, 'agent_3': '10'}], 'turn 1': [{'agent_4': None, 'agent_0': None, 'agent_1': '12', 'agent_2': None, 'agent_3': None}], 'turn 2': [{'agent_4': None, 'agent_0': '39', 'agent_1': '13', 'agent_2': None, 'agent_3': None}], 'turn 3': [{'agent_4': None, 'agent_0': None, 'agent_1': '14', 'agent_2': '44', 'agent_3': None}], 'turn 4': [{'agent_4': None, 'agent_0': None, 'agent_1': '15', 'agent_2': '47', 'agent_3': None}], 'turn 5': [{'agent_4': None, 'agent_0': None, 'agent_1': None, 'agent_2': '48', 'agent_3': None}], 'turn 6': [{'agent_4': None, 'agent_0': None, 'agent_1': None, 'agent_2': '50', 'agent_3': None}], 'turn 7': [{'agent_4': None, 'agent_0': None, 'agent_1': None, 'agent_2': None, 'agent_3': None}]}"
"A4,A0,A1,A3,A2",0.13793103448275862,8,"{'turn 0': [{'agent_4': '11', 'agent_0': '3', 'agent_1': '1', 'agent_3': '10', 'agent_2': None}], 'turn 1': [{'agent_4': None, 'agent_0': None, 'agent_1': '12', 'agent_3': None, 'agent_2': None}], 'turn 2': [{'agent_4': None, 'agent_0': '39', 'agent_1': '13', 'agent_3': None, 'agent_2': None}], 'turn 3': [{'agent_4': None, 'agent_0': None, 'agent_1': '14', 'agent_3': None, 'agent_2': '44'}], 'turn 4': [{'agent_4': None, 'agent_0': None, 'agent_1': '15', 'agent_3': None, 'agent_2': '47'}], 'turn 5': [{'agent_4': None, 'agent_0': None, 'agent_1': None, 'agent_3': None, 'agent_2': '48'}], 'turn 6': [{'agent_4': None, 'agent_0': None, 'agent_1': None, 'agent_3': None, 'agent_2': '50'}], 'turn 7': [{'agent_4': None, 'agent_0': None, 'agent_1': None, 'agent_3': None, 'agent_2': None}]}"
"A4,A0,A2,A1,A3",0.12903225806451613,8,"{'turn 0': [{'agent_4': '11', 'agent_0': '3', 'agent_2': None, 'agent_1': '1', 'agent_3': '10'}], 'turn 1': [{'agent_4': None, 'agent_0': None, 'agent_2': None, 'agent_1': '12', 'agent_3': None}], 'turn 2': [{'agent_4': None, 'agent_0': '39', 'agent_2': None, 'agent_1': '13', 'agent_3': None}], 'turn 3': [{'agent_4': None, 'agent_0': None, 'agent_2': None, 'agent_1': '14', 'agent_3': None}], 'turn 4': [{'agent_4': None, 'agent_0': None, 'agent_2': '44', 'agent_1': '15', 'agent_3': None}], 'turn 5': [{'agent_4': '19', 'agent_0': '47', 'agent_2': '48', 'agent_1': '2', 'agent_3': None}], 'turn 6': [{'agent_4': None, 'agent_0': None, 'agent_2': '50', 'agent_1': None, 'agent_3': None}], 'turn 7': [{'agent_4': None, 'agent_0': None, 'agent_2': None, 'agent_1': None, 'agent_3': None}]}"
"A4,A0,A2,A3,A1",0.12903225806451613,7,"{'turn 0': [{'agent_4': '11', 'agent_0': '3', 'agent_2': None, 'agent_3': '10', 'agent_1': '1'}], 'turn 1': [{'agent_4': None, 'agent_0': None, 'agent_2': None, 'agent_3': '12', 'agent_1': '13'}], 'turn 2': [{'agent_4': None, 'agent_0': '39', 'agent_2': None, 'agent_3': None, 'agent_1': '14'}], 'turn 3': [{'agent_4': None, 'agent_0': None, 'agent_2': '44', 'agent_3': None, 'agent_1': '15'}], 'turn 4': [{'agent_4': '19', 'agent_0': '47', 'agent_2': '48', 'agent_3': None, 'agent_1': '2'}], 'turn 5': [{'agent_4': None, 'agent_0': None, 'agent_2': '50', 'agent_3': None, 'agent_1': None}], 'turn 6': [{'agent_4': None, 'agent_0': None, 'agent_2': None, 'agent_3': None, 'agent_1': None}]}"
"A4,A0,A3,A1,A2",0.13793103448275862,7,"{'turn 0': [{'agent_4': '11', 'agent_0': '3', 'agent_3': '10', 'agent_1': '1', 'agent_2': None}], 'turn 1': [{'agent_4': None, 'agent_0': None, 'agent_3': '12', 'agent_1': '13', 'agent_2': None}], 'turn 2': [{'agent_4': None, 'agent_0': '39', 'agent_3': None, 'agent_1': '14', 'agent_2': '44'}], 'turn 3': [{'agent_4': None, 'agent_0': None, 'agent_3': None, 'agent_1': '15', 'agent_2': '47'}], 'turn 4': [{'agent_4': None, 'agent_0': None, 'agent_3': None, 'agent_1': None, 'agent_2': '48'}], 'turn 5': [{'agent_4': None, 'agent_0': None, 'agent_3': None, 'agent_1': None, 'agent_2': '50'}], 'turn 6': [{'agent_4': None, 'agent_0': None, 'agent_3': None, 'agent_1': None, 'agent_2': None}]}"
